booking_id,worker_id,service_category,skill_name,quantity,scheduled_hour,day_of_week,worker_category,experience_years,certifications_count,has_certifications,is_verified,distance_km,worker_skill_price,worker_skill_price_type,platform_tenure_days,successful_completion
B00001,W00381,Plumber,Leak Repair,2,20,6,Plumber,1.6,1,1,0,4.66,417.1,per_hour,2343,0
B00001,W00104,Plumber,Leak Repair,2,20,6,Plumber,4.7,1,1,1,2.82,602.4,per_hour,1104,0
B00001,W00359,Plumber,Leak Repair,2,20,6,Plumber,3.9,1,1,0,8.58,546.42,per_visit,2676,0
B00001,W00280,Plumber,Leak Repair,2,20,6,Plumber,4.4,1,1,1,5.75,521.26,per_day,267,0
B00001,W00889,Plumber,Leak Repair,2,20,6,Plumber,9.2,3,1,1,3.77,658.39,per_visit,2867,1
B00001,W00881,Plumber,Leak Repair,2,20,6,Plumber,7.4,0,0,1,1.96,540.17,per_hour,2643,1
B00002,W00362,Technician,Washing Machine Repair,5,8,4,Technician,4.6,2,1,1,5.31,406.85,per_hour,1828,1
B00002,W00515,Technician,Washing Machine Repair,5,8,4,Technician,5.9,1,1,1,1.96,446.53,per_hour,92,0
B00002,W00959,Technician,Washing Machine Repair,5,8,4,Technician,5.6,1,1,0,7.1,564.69,per_day,1621,0
B00002,W00693,Technician,Washing Machine Repair,5,8,4,Technician,7.8,1,1,0,14.41,532.27,fixed,438,1
B00002,W00776,Technician,Washing Machine Repair,5,8,4,Technician,4.6,0,0,1,4.6,561.6,per_hour,2355,1
B00002,W00764,Technician,Washing Machine Repair,5,8,4,Technician,5.0,1,1,1,5.19,388.5,per_visit,1721,1
B00003,W00184,Driver,Outstation Driving,5,21,2,Driver,3.8,0,0,0,0.48,389.85,per_hour,2950,0
B00003,W00757,Driver,Outstation Driving,5,21,2,Driver,9.3,2,1,0,10.09,526.98,per_visit,1091,0
B00003,W00377,Driver,Outstation Driving,5,21,2,Driver,2.9,0,0,1,7.37,438.65,per_hour,1032,0
B00003,W00805,Driver,Outstation Driving,5,21,2,Driver,7.0,1,1,0,5.06,474.31,per_hour,1942,1
B00003,W00471,Driver,Outstation Driving,5,21,2,Driver,3.1,0,0,0,5.53,405.98,per_hour,2530,1
B00003,W00774,Driver,Outstation Driving,5,21,2,Driver,30.0,1,1,1,11.26,400.8,per_visit,2567,0
B00004,W00386,Electrician,Wiring Repair,6,4,3,Electrician,4.6,0,0,0,0.83,468.37,fixed,2158,0
B00004,W00357,Electrician,Wiring Repair,6,4,3,Electrician,4.6,2,1,1,6.71,446.93,fixed,1726,1
B00004,W00847,Electrician,Wiring Repair,6,4,3,Electrician,13.6,1,1,1,3.24,695.08,per_visit,2354,1
B00004,W00230,Electrician,Wiring Repair,6,4,3,Electrician,8.2,1,1,1,7.66,407.42,per_hour,2859,0
B00004,W00408,Electrician,Wiring Repair,6,4,3,Electrician,11.2,0,0,1,3.06,487.21,fixed,1118,1
B00004,W00118,Electrician,Wiring Repair,6,4,3,Electrician,1.6,2,1,1,6.73,544.62,per_day,1129,1
B00005,W00103,Caregiver,Home Assistance,5,18,3,Caregiver,11.4,3,1,1,13.54,470.94,per_visit,2063,0
B00005,W00232,Caregiver,Home Assistance,5,18,3,Caregiver,8.8,1,1,0,5.06,432.04,per_visit,1850,1
B00005,W00105,Caregiver,Home Assistance,5,18,3,Caregiver,8.4,0,0,1,8.44,381.17,fixed,1902,0
B00005,W00963,Caregiver,Home Assistance,5,18,3,Caregiver,3.0,0,0,0,2.87,406.6,per_day,1656,0
B00005,W00692,Caregiver,Home Assistance,5,18,3,Caregiver,8.1,0,0,1,6.66,404.39,per_day,2325,0
B00005,W00806,Caregiver,Home Assistance,5,18,3,Caregiver,7.8,2,1,0,4.41,453.22,per_day,2639,0
B00006,W00283,Driver,Outstation Driving,5,3,4,Driver,7.3,0,0,0,4.21,341.53,per_hour,1051,1
B00006,W00737,Driver,Outstation Driving,5,3,4,Driver,9.4,1,1,1,7.06,411.41,per_day,2862,1
B00006,W00416,Driver,Outstation Driving,5,3,4,Driver,14.4,0,0,0,4.48,395.71,per_hour,1590,1
B00006,W00906,Driver,Outstation Driving,5,3,4,Driver,0.6,0,0,1,9.46,197.3,per_hour,573,0
B00006,W00713,Driver,Outstation Driving,5,3,4,Driver,4.9,1,1,1,3.45,404.72,fixed,1106,0
B00006,W00714,Driver,Outstation Driving,5,3,4,Driver,15.3,1,1,1,1.94,530.24,per_visit,1054,1
B00006,W00676,Driver,Outstation Driving,5,3,4,Driver,10.6,3,1,0,7.06,506.47,per_visit,2014,0
B00007,W00228,Gardener,Lawn Maintenance,4,18,6,Gardener,7.8,3,1,1,11.61,352.02,fixed,493,0
B00007,W00825,Gardener,Lawn Maintenance,4,18,6,Gardener,8.5,2,1,1,5.14,573.92,per_hour,850,0
B00007,W00771,Gardener,Lawn Maintenance,4,18,6,Gardener,9.5,0,0,1,8.91,328.01,per_hour,1862,1
B00007,W00996,Gardener,Lawn Maintenance,4,18,6,Gardener,17.3,0,0,1,6.73,230.45,per_visit,2594,1
B00007,W00134,Gardener,Lawn Maintenance,4,18,6,Gardener,5.1,0,0,0,7.14,413.76,per_visit,610,0
B00007,W00079,Gardener,Lawn Maintenance,4,18,6,Gardener,9.6,0,0,0,2.81,382.51,per_day,2234,1
B00008,W00723,Caregiver,Home Assistance,4,16,1,Caregiver,8.0,2,1,1,6.04,381.62,fixed,778,0
B00008,W00071,Caregiver,Home Assistance,4,16,1,Caregiver,4.1,1,1,1,1.01,290.47,per_day,2129,1
B00008,W00019,Caregiver,Home Assistance,4,16,1,Caregiver,3.9,3,1,1,0.22,292.29,per_day,737,1
B00008,W00146,Caregiver,Home Assistance,4,16,1,Caregiver,8.1,0,0,0,0.53,388.69,fixed,2572,0
B00008,W00990,Caregiver,Home Assistance,4,16,1,Caregiver,13.6,1,1,1,3.64,426.74,per_day,2295,0
B00008,W00524,Caregiver,Home Assistance,4,16,1,Caregiver,3.5,0,0,1,10.48,366.45,per_day,2362,0
B00009,W00156,Gardener,Lawn Maintenance,2,6,6,Gardener,9.6,1,1,1,1.97,327.37,per_hour,2567,0
B00009,W00600,Gardener,Lawn Maintenance,2,6,6,Gardener,26.5,0,0,1,6.06,419.11,per_day,1413,1
B00009,W00458,Gardener,Lawn Maintenance,2,6,6,Gardener,10.7,0,0,1,15.67,499.41,per_day,2363,1
B00009,W00920,Gardener,Lawn Maintenance,2,6,6,Gardener,2.4,1,1,0,2.5,451.83,per_hour,600,0
B00009,W00599,Gardener,Lawn Maintenance,2,6,6,Gardener,8.9,0,0,1,5.94,317.65,per_day,1613,1
B00009,W00958,Gardener,Lawn Maintenance,2,6,6,Gardener,2.9,2,1,0,12.36,315.83,per_hour,444,0
B00009,W00953,Gardener,Lawn Maintenance,2,6,6,Gardener,1.1,1,1,0,4.58,370.38,per_day,193,0
B00010,W00244,Gardener,Garden Maintenance,5,14,1,Gardener,7.9,2,1,0,2.51,424.71,per_visit,2370,1
B00010,W00953,Gardener,Garden Maintenance,5,14,1,Gardener,1.1,1,1,0,8.01,375.15,per_visit,193,0
B00010,W00131,Gardener,Garden Maintenance,5,14,1,Gardener,2.8,3,1,1,1.59,417.15,per_visit,2282,0
B00010,W00996,Gardener,Garden Maintenance,5,14,1,Gardener,17.3,0,0,1,3.88,274.6,per_day,2594,0
B00010,W00743,Gardener,Garden Maintenance,5,14,1,Gardener,9.8,1,1,0,4.31,266.96,per_day,2058,0
B00010,W00625,Gardener,Garden Maintenance,5,14,1,Gardener,8.4,1,1,0,4.78,340.29,per_visit,1804,1
B00010,W00665,Gardener,Garden Maintenance,5,14,1,Gardener,7.0,1,1,1,1.5,362.8,fixed,2503,1
B00011,W00347,Technician,AC Repair,2,9,2,Technician,11.9,2,1,1,1.56,731.14,fixed,2697,1
B00011,W00064,Technician,AC Repair,2,9,2,Technician,9.7,2,1,0,4.28,430.41,per_hour,1785,1
B00011,W00751,Technician,AC Repair,2,9,2,Technician,2.6,2,1,0,14.25,482.66,per_day,2301,0
B00011,W00304,Technician,AC Repair,2,9,2,Technician,6.4,0,0,1,12.13,479.94,fixed,751,1
B00011,W00048,Technician,AC Repair,2,9,2,Technician,1.8,1,1,0,24.31,362.44,fixed,1880,1
B00011,W00949,Technician,AC Repair,2,9,2,Technician,1.3,1,1,0,8.27,406.91,per_day,2186,1
B00011,W00565,Technician,AC Repair,2,9,2,Technician,13.5,1,1,0,3.31,520.63,per_day,2353,1
B00012,W00915,Gardener,Plant Care,1,17,2,Gardener,11.6,2,1,0,4.48,353.64,per_day,2670,0
B00012,W00126,Gardener,Plant Care,1,17,2,Gardener,9.8,1,1,1,3.46,487.71,per_day,1765,1
B00012,W00978,Gardener,Plant Care,1,17,2,Gardener,8.5,1,1,1,1.82,330.32,per_visit,1813,1
B00012,W00767,Gardener,Plant Care,1,17,2,Gardener,8.3,1,1,1,8.42,472.08,per_day,1545,1
B00012,W00980,Gardener,Plant Care,1,17,2,Gardener,0.9,0,0,1,3.19,368.89,per_visit,282,1
B00012,W00531,Gardener,Plant Care,1,17,2,Gardener,7.4,0,0,1,8.85,296.46,per_day,1184,0
